"Exness","Symbol","Timestamp","Bid","Ask"
"exness","BTCUSD_Zero_Spread","2025-11-09 12:57:53.512Z",102050.97,102050.97
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:03.555Z",102049.77,102049.77
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:13.662Z",102050.92,102050.92
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:18.802Z",102054.69,102054.69
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:19.024Z",102057.58,102057.58
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:22.935Z",102055.91,102055.91
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:25.399Z",102050.68,102050.68
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:30.522Z",102047.57,102047.57
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:34.352Z",102045.25,102045.25
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:34.381Z",102041.65,102041.65
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:34.601Z",102039.0,102039.0
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:36.725Z",102040.8,102040.8
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:39.737Z",102040.92,102040.92
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:42.917Z",102041.03,102041.03
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:45.922Z",102041.16,102041.16
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:49.008Z",102038.09,102038.09
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:50.022Z",102038.27,102038.27
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:50.046Z",102043.68,102043.68
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:50.094Z",102046.26,102046.26
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:50.133Z",102048.62,102048.62
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:51.583Z",102058.04,102058.04
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:51.612Z",102060.86,102060.86
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:52.652Z",102063.87,102063.87
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:53.977Z",102064.04,102064.04
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:53.992Z",102066.94,102066.94
"exness","BTCUSD_Zero_Spread","2025-11-09 12:58:57.084Z",102066.83,102066.83
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:00.149Z",102066.73,102066.73
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:04.352Z",102065.37,102065.37
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:09.438Z",102066.5,102066.5
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:10.792Z",102066.63,102066.63
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:13.951Z",102066.73,102066.73
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:16.962Z",102066.91,102066.91
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:17.129Z",102069.21,102069.21
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:21.108Z",102070.06,102070.06
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:26.541Z",102071.2,102071.2
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:26.664Z",102075.96,102075.96
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:29.592Z",102077.14,102077.14
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:33.717Z",102075.95,102075.95
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:35.824Z",102077.91,102077.91
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:39.973Z",102078.03,102078.03
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:41.039Z",102076.57,102076.57
"exness","BTCUSD_Zero_Spread","2025-11-09 12:59:51.086Z",102073.85,102073.85
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:00.660Z",102078.13,102078.13
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:10.898Z",102079.56,102079.56
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:11.131Z",102082.71,102082.71
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:11.170Z",102085.37,102085.37
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:11.217Z",102087.84,102087.84
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:13.663Z",102089.54,102089.54
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:15.711Z",102084.24,102084.24
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:19.784Z",102085.33,102085.33
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:20.963Z",102079.48,102079.48
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:21.048Z",102076.79,102076.79
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:22.343Z",102073.03,102073.03
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:22.356Z",102069.93,102069.93
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:25.232Z",102069.43,102069.43
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:25.254Z",102065.84,102065.84
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:28.389Z",102065.03,102065.03
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:31.224Z",102058.25,102058.25
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:31.841Z",102057.95,102057.95
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:41.962Z",102059.26,102059.26
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:46.306Z",102062.89,102062.89
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:47.403Z",102066.54,102066.54
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:50.406Z",102066.66,102066.66
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:53.564Z",102064.02,102064.02
"exness","BTCUSD_Zero_Spread","2025-11-09 13:00:58.435Z",102066.65,102066.65
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:06.814Z",102060.49,102060.49
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:13.151Z",102057.12,102057.12
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:15.267Z",102059.33,102059.33
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:19.279Z",102063.69,102063.69
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:25.440Z",102064.89,102064.89
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:31.640Z",102064.78,102064.78
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.611Z",102093.09,102093.09
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.621Z",102088.97,102088.97
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.674Z",102093.43,102093.43
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.686Z",102096.11,102096.11
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.703Z",102101.56,102101.56
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.711Z",102098.11,102098.11
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.726Z",102104.83,102104.83
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.740Z",102110.43,102110.43
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.768Z",102112.73,102112.73
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:33.858Z",102115.13,102115.13
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:34.014Z",102123.17,102123.17
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:34.098Z",102125.77,102125.77
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:34.251Z",102128.22,102128.22
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:35.863Z",102130.2,102130.2
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:35.883Z",102132.47,102132.47
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:36.945Z",102133.11,102133.11
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:36.956Z",102129.37,102129.37
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:36.992Z",102126.55,102126.55
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:37.058Z",102123.13,102123.13
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:37.214Z",102116.77,102116.77
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:37.346Z",102112.76,102112.76
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:37.356Z",102109.56,102109.56
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:37.572Z",102106.14,102106.14
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:37.583Z",102103.78,102103.78
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:38.663Z",102098.01,102098.01
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:39.649Z",102098.11,102098.11
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:45.748Z",102105.64,102105.64
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:50.106Z",102105.98,102105.98
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:51.544Z",102104.67,102104.67
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:51.605Z",102102.07,102102.07
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:51.653Z",102097.88,102097.88
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:51.686Z",102094.34,102094.34
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:51.895Z",102091.61,102091.61
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:51.974Z",102088.82,102088.82
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:52.124Z",102084.13,102084.13
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:52.186Z",102081.87,102081.87
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:53.210Z",102082.24,102082.24
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:55.294Z",102080.93,102080.93
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:57.487Z",102082.49,102082.49
"exness","BTCUSD_Zero_Spread","2025-11-09 13:01:59.473Z",102082.6,102082.6
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:01.476Z",102081.98,102081.98
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:03.596Z",102082.83,102082.83
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:05.623Z",102082.94,102082.94
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.015Z",102084.31,102084.31
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.048Z",102087.95,102087.95
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.071Z",102090.79,102090.79
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.162Z",102093.69,102093.69
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.318Z",102096.58,102096.58
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.395Z",102100.07,102100.07
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.512Z",102102.76,102102.76
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:07.740Z",102107.33,102107.33
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:08.982Z",102108.95,102108.95
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:09.552Z",102105.82,102105.82
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:10.300Z",102102.88,102102.88
"exness","BTCUSD_Zero_Spread","2025-11-09 13:02:10.335Z",102100.28,102100.28
